Date,Actual,Basic_nn
2009-07-16,10627.63,11360.3545
2009-07-16,10435.73,11225.313
2009-07-16,10319.62,11015.62
2009-07-16,10233.05,10713.523
2009-07-16,10205.04,10468.381
2009-07-16,10139.07,10289.772
2009-07-16,10106.02,10124.579
2009-07-16,10075.71,10013.889
2009-07-16,10151.23,9948.41
2009-07-16,10331.2,10006.206
2009-07-16,10543.28,10031.227
2009-07-16,10954.53,10107.316
2009-07-16,11515.49,10353.004
2009-07-16,12228.14,10748.291
2009-07-16,12284.08,11304.741
2009-07-16,12233.29,11914.471
2009-07-16,11984.31,12236.94
2009-07-16,11742.24,12261.601
2009-07-16,11675.13,12181.921
2009-07-16,11496.65,12050.005
2009-07-16,11135.28,11948.009
2009-07-16,10617.5,11846.569
2009-07-16,10618.57,11685.055
2009-07-16,10201.07,11494.494
2009-07-16,9905.89,11281.698
2009-07-17,9627.11,11130.278
2009-07-17,9363.3,10744.123
2009-07-17,9070.46,10258.201
2009-07-17,8887.31,9769.881
2009-07-17,8579.29,9464.332
2009-07-17,8147.4,9248.381
2009-07-17,7781.48,9097.041
2009-07-17,7466.56,8712.474
2009-07-17,7275.53,8172.316
2009-07-17,7200.22,7692.654
2009-07-17,7251.6,7370.4146
2009-07-17,7588.37,7199.012
2009-07-17,8007.31,7112.948
2009-07-17,8770.37,7211.8345
2009-07-17,9454.52,7516.578
2009-07-17,9913.96,8092.14
2009-07-17,10533.8,9266.258
2009-07-17,10798.48,10089.1455
2009-07-17,10877.32,10630.894
2009-07-17,10940.96,11151.154
2009-07-17,10825.95,11262.462
2009-07-17,10701.63,11224.2295
2009-07-17,10580.82,11179.82
2009-07-17,10379.84,11080.05
2009-07-17,10199.21,10983.277
2009-07-17,10144.15,10809.769
2009-07-17,10032.01,10607.192
2009-07-17,9918.28,10486.245
2009-07-17,9825.3,10396.848
2009-07-17,9778.37,10322.431
2009-07-17,9696.18,10276.287
2009-07-17,9713.83,10202.551
2009-07-17,9815.13,10151.052
2009-07-17,9994.09,10136.836
2009-07-17,10410.45,10229.438
2009-07-17,11033.24,10424.138
2009-07-17,11595.0,10682.807
2009-07-17,11600.43,11076.834
2009-07-17,11494.3,11575.651
2009-07-17,11230.67,11904.657
2009-07-17,11129.87,11926.531
2009-07-17,11014.61,11846.24
2009-07-17,10839.7,11719.796
2009-07-17,10528.14,11634.869
2009-07-17,10289.13,11550.86
2009-07-17,10403.2,11374.271
2009-07-17,10171.16,11132.351
2009-07-17,9938.58,10947.56
2009-07-18,9737.29,10919.39
2009-07-18,9499.73,10659.324
2009-07-18,9217.06,10138.438
2009-07-18,9017.86,9512.445
2009-07-18,8655.08,9329.876
2009-07-18,8202.88,9070.738
2009-07-18,7797.36,8911.931
2009-07-18,7465.91,8523.275
2009-07-18,7304.45,7946.3125
2009-07-18,7194.64,7451.0264
2009-07-18,7128.64,7119.161
2009-07-18,7252.9,6904.429
2009-07-18,7382.39,6809.991
2009-07-18,7751.03,6855.686
2009-07-18,8068.95,7044.138
2009-07-18,8507.57,7358.396
2009-07-18,9220.19,7862.0894
2009-07-18,9772.56,8346.147
2009-07-18,10177.96,8853.5625
2009-07-18,10390.33,9673.4795
2009-07-18,10311.57,10186.969
2009-07-18,10111.16,10564.825
2009-07-18,9877.08,10761.585
2009-07-18,9507.68,10675.494
2009-07-18,9227.99,10531.282
2009-07-18,9011.56,10356.777
2009-07-18,8852.95,10044.123
2009-07-18,8747.41,9761.747
2009-07-18,8605.34,9502.883
2009-07-18,8498.68,9270.788
2009-07-18,8428.24,9137.228
2009-07-18,8404.74,9009.301
2009-07-18,8584.72,8937.833
2009-07-18,8842.33,8956.769
2009-07-18,9391.02,9072.878
2009-07-18,10052.98,9179.424
2009-07-18,10748.8,9283.578
2009-07-18,10926.22,9693.378
2009-07-18,10814.24,10469.596
2009-07-18,10633.49,11034.05
2009-07-18,10472.26,11124.575
2009-07-18,10368.74,11046.384
2009-07-18,10234.93,10939.337
2009-07-18,9992.84,10909.289
2009-07-18,9812.29,10877.899
2009-07-18,9761.38,10771.313
2009-07-18,9554.23,10632.724
2009-07-18,9283.22,10584.747
2009-07-19,9016.19,10621.639
2009-07-19,8676.05,10329.68
2009-07-19,8379.74,9927.2705
2009-07-19,8134.0,9489.968
2009-07-19,7844.07,9139.698
2009-07-19,7496.58,8827.824
2009-07-19,7213.45,8555.571
2009-07-19,6992.75,8121.272
2009-07-19,6904.01,7594.6416
2009-07-19,6827.57,7191.296
2009-07-19,6832.97,6930.8604
